Taxi ID,Date,Time,Latitude,Longitude,Temperature
58,02-02-14,00:00:00.053872+01,41.900371853714000,12.4729343393272,6.6688029660000000
298,02-02-14,00:00:00.131357+01,41.881329109892200,12.4773450661451,7.1141453220000000
122,02-02-14,00:00:00.192242+01,41.895938800000000,12.4826228,7.5630529440000000
255,02-03-14,00:00:00.349246+01,41.865880000000000,12.62495333,7.2154676760000000
255,02-04-14,00:00:00.349246+01,41.865880000000000,12.62495333,7.2154676760000000
255,02-02-14,00:00:00.389535+01,41.920525000000000,12.5653133333333,6.3353928980000000
268,02-02-14,00:00:01.346295+01,41.9068241039299,12.408177559736500,5.1238504890000000
268,02-04-14,00:00:01.346295+01,41.9068241039299,12.408177559736500,5.1238504890000000
331,02-02-14,00:00:01.571855+01,41.904418445192300,12.497224509716,7.8576262200000000
202,02-03-14,00:00:01.790376+01,41.892124520000000,12.469845100000000,8.1016306870000000
341,02-02-14,00:00:01.979964+01,41.893739550933700,12.5080155207144,6.0261591210000000
62,02-03-14,00:00:02.183997+01,41.845750120000000,12.479415450000000,6.3870787440000000
260,02-02-14,00:00:03.182607+01,41.899149643356300,12.473923592286600,7.5310703730000000
235,02-02-14,00:00:03.417137+01,41.9513158911085,12.527626634218,6.0003766300000000
248,02-02-14,00:00:03.740594+01,41.906128745263000,12.4565139001906,9.4603349360000000
318,02-02-14,00:00:04.470562+01,41.904585222291200,12.478598531649200,6.0554089410000000
2,02-03-14,00:00:04.608166+01,41.936193370000000,12.466128060000000,6.8948659900000000
188,02-02-14,00:00:04.73869+01,41.900407471192600,12.499079525377900,6.2629232420000000
203,02-03-14,00:00:04.828721+01,41.919987720000000,12.416771750000000,4.5409114210000000
135,02-02-14,00:00:04.997083+01,41.961973472337200,12.4040856037472,5.1041491410000000
135,02-04-14,00:00:04.997083+01,41.961973472337200,12.4040856037472,5.1041491410000000
281,02-02-14,00:00:05.005495+01,41.894952372464500,12.4810704150332,7.3907691480000000
199,02-03-14,00:00:05.157499+01,41.90047543,12.47298765,8.5859436140000000
113,02-03-14,00:00:06.605797+01,41.910497140000000,12.61130399,6.6701689440000000
113,02-04-14,00:00:06.605797+01,41.910497140000000,12.61130399,6.6701689440000000
238,02-03-14,00:00:06.879285+01,41.896272080000000,12.485472470000000,8.5439602870000000
273,02-02-14,00:00:07.049252+01,41.884678333333300,12.4723966666667,8.6370538450000000
351,02-02-14,00:00:07.548561+01,41.9155136848632,12.453369279198,7.2231484140000000
87,02-03-14,00:00:08.37938+01,41.90765768,12.49090481,7.6308477770000000
178,02-02-14,00:00:08.495373+01,41.8918632087451,12.5083971820165,7.1489767350000000
104,02-02-14,00:00:08.902219+01,41.888634822219200,12.4549201245642,7.4682967060000000
54,02-03-14,00:00:10.264465+01,41.897074610000000,12.47285836,8.7454356190000000
2,02-02-14,00:00:10.410108+01,41.903715112456100,12.4883604904878,7.7832674450000000
291,02-02-14,00:00:10.535794+01,41.875023317791100,12.511123336637,6.8770365270000000
40,02-03-14,00:00:10.749292+01,41.913426010000000,12.493297350000000,7.6417014160000000
119,02-03-14,00:00:10.84395+01,41.895904220000000,12.476695300000000,8.3400859660000000
53,02-01-14,00:00:12.23614+01,41.891202004834500,12.502547962734700,6.9343995090000000
53,02-04-14,00:00:12.23614+01,41.891202004834500,12.502547962734700,6.9343995090000000
259,02-02-14,00:00:12.352215+01,41.929849459832100,12.485157797652600,5.5314730060000000
223,02-03-14,00:00:12.959891+01,41.894972930000000,12.479359430000000,8.6311452260000000
143,02-03-14,00:00:13.079016+01,41.889811780000000,12.474649940000000,7.779209099
105,02-02-14,00:00:13.668611+01,41.8962184770077,12.482958227206100,7.1041455200000000
315,02-02-14,00:00:13.781562+01,41.904932812011800,12.482936549393400,7.1778110010000000
81,02-03-14,00:00:14.14493+01,41.903890350000000,12.48909286,8.3256621470000000
132,02-02-14,00:00:14.220582+01,41.906462905889000,12.481349726324,6.090328972
22,02-03-14,00:00:14.539417+01,41.900124390000000,12.49241614,8.3748640100000000
61,02-02-14,00:00:15.060521+01,41.8910816666667,12.479010000000000,7.511989882
228,02-02-14,00:00:15.198645+01,41.8966054944852,12.472860924753900,6.8896765050000000
139,02-03-14,00:00:15.367583+01,41.897142410000000,12.472698430000000,8.6121480840000000
135,02-03-14,00:00:15.414205+01,41.897960880000000,12.46890176,8.0491789690000000
89,02-01-14,00:00:16.002329+01,41.795045973092800,12.4349096543292,5.0017613780000000
89,02-04-14,00:00:16.002329+01,41.795045973092800,12.4349096543292,5.0017613780000000
234,02-02-14,00:00:22.602034+01,41.888896805693100,12.4535950090653,4.189489665
132,02-01-14,00:00:25.697679+01,41.856835890815500,12.477377338537200,5.0434014420000000
113,02-03-14,00:00:39.542925+01,41.909667760000000,12.5297561,7.8710634580000000
321,02-01-14,00:00:52.860301+01,41.897246330000000,12.472850750000000,6.7446976130000000
321,02-04-14,00:00:52.860301+01,41.897246330000000,12.472850750000000,6.7446976130000000
94,02-03-14,00:00:54.237922+01,41.91076374,12.452006600000000,4.8390292520000000
224,02-01-14,00:01:42.3687+01,41.966365230000000,12.45273171,3.745402672
191,02-01-14,00:02:02.056922+01,41.851929343297600,12.578744385530800,4.7567843230000000
191,02-04-14,00:02:02.056922+01,41.851929343297600,12.578744385530800,4.7567843230000000
89,02-01-14,00:02:04.859475+01,41.800595224258200,12.4553524179373,5.9157156210000000
62,02-03-14,00:02:19.123844+01,41.858341110000000,12.49621966,8.3052416460000000
246,02-03-14,00:02:39.922464+01,41.925142140000000,12.521867370000000,7.7379326400000000
122,02-01-14,00:03:03.814737+01,41.909989067208300,12.494136206694200,7.6346458840000000
122,02-04-14,00:03:03.814737+01,41.909989067208300,12.494136206694200,7.6346458840000000
2,02-03-14,00:03:33.072459+01,41.926095890000000,12.457750090000000,8.6907523140000000
351,02-02-14,00:03:37.395628+01,41.926363435113500,12.458483118574500,5.0753492620000000
